id;name;region;city;address;website;phone;fax;email;director;legal_form;source_url
157;Пансионат «Лесная сказка»;Новосибирская область;Бердск;633011, Новосибирская область, г. Бердск, ул. Попова, 12;http://lesnaya-skazka.ru/;+7 (800) 350-18-39, 349-57-89, 334-06-25;;lesnayaskazka@mail.ru;Нарышкина Лариса Григорьевна;общество с ограниченной ответственностью;https://sanatoria.ru/san.php?org=157
158;Детский психоневрологический санаторий «Комарово»;г. Санкт-Петербург;Санкт-Петербург;197733, Россия, г. Санкт-Петербург, п. Комарово, ул. Социалистическая, 2/8, литер А;http://sankomarovo.ru/;+7 (812) 241-22-32, 241-22-35, 241-22-26;241-22-33;sankomarovo@zdrav.spb.ru;Головко Татьяна Андреевна;государственное бюджетное учреждение;https://sanatoria.ru/san.php?org=158
159;Детский санаторий «Солнечное»;г. Санкт-Петербург;Санкт-Петербург;197739, Россия, г. Санкт-Петербург, п. Солнечное, ул. 2-ая Боровая, д. 6;http://solsankinder.ru/;+7 (812) 246-12-12, 246-12-10, 246-12-20;;sansolnkinder@zdrav.spb.ru;Лаврик Николай Петрович;государственное бюджетное учреждение здравоохранения;https://sanatoria.ru/san.php?org=159
160;Детский санаторий «Костер»;;;188820, Ленинградская обл., Выборгский р-он, пос. Рощино, ул. Социалистическая, дача Адмирала Макарова;;+7 (81378) 6-49-47, 6-05-54;6-49-47;;Германова Анна Александровна;ГУЗ;https://sanatoria.ru/san.php?org=160
161;Санаторий «Хопровские зори»;Пензенская область;;442830, Пензенская область, рп. Колышлей, ул. Лесная, д. 1А;http://hoprzori.ru/;+7 (841) 462-14-58, +7 (841) 462-16-63, +7 (8412) 25-47-47;;hoprzori@mail.ru;Кисилев Виктор Иванович;общество с ограниченной ответственностью;https://sanatoria.ru/san.php?org=161
162;Санаторий-профилакторий «Озон»;Оренбургская область;;460001, Оренбургская область, Оренбургский район, хутор Степановский, Степановский сельский совет;http://xn----7sba3adgzfedbsir.xn--p1ai/;+7 (3532) 56-88-48, 56-63-01;;reklamaozon@mail.ru;;ООО;https://sanatoria.ru/san.php?org=162
163;Курорт «Новая Истра»;Московская область;;143520, Московская область, Истринский район, с/п Лучинское, территория санатория;http://istra.amaks-kurort.ru/;+7 (495) 152-62-56, +7 (800) 555-5225;994-53-62;sales-istra@amaks-hotels.ru;Пронин Евгений Алексеевич;ЗАО КОПФ 67;https://sanatoria.ru/san.php?org=163
164;Оздоровительно-спортивный комплекс «Сосновый бор»;;;624810, Свердловская обл., Сухоложский район, с. Курьи, ул. Заречная, д. 1;http://sbor.ur.ru/;+7 (34373) 91-2-47, 92-1-55;;strokina_irina@list.ru;Строкина Ирина Валентиновна;общество с ограниченной ответственностью;https://sanatoria.ru/san.php?org=164
165;Санаторий-профилакторий «Родник»;Хабаровский край;Амурск;682640, Хабаровский край, г. Амурск, пр. Мира, 22 В;;+7 (42142) 27-720, 26-453, 25-594, 21-611;27-720, 27 723;post@vympel.amursk.ru;Пожидаев Владимир Викторович;ГУП;https://sanatoria.ru/san.php?org=165
166;Республиканский детский санаторий «Гуниб»;Республика Дагестан;;368340, Республика Дагестан, Гунибский район, с. Гуниб;http://rdsgunib.ru/;+7 (989) 658-66-17;;rdsgunib@mail.ru;Умаханова Лаура Гасаналиевна;государственное бюджетное учреждение;https://sanatoria.ru/san.php?org=166
167;Санаторий «Красиво»;Белгородская область;;309360, Белгородская область, Борисовский район, хутор Никольский, 1а;http://san-krasivo.ru/;+7 (47246) 5-08-04, 5-35-51;33-111;info@san-krasivo.ru;Черкашина Галина Дмитриевна;областное государственное автономное учреждение здравоохранения;https://sanatoria.ru/san.php?org=167
168;Санаторий для детей с родителями «Смена» ФМБА;Ставропольский край;Кисловодск;357700, Ставропольский край, г. Кисловодск, пр. Дзержинского, 18;http://smena-kmv.ru/;+7 (87937) 2-96-00;6-76-15;dssmena@mail.ru;Кулаковская Татьяна Васильевна;Федеральное государственное бюджетное учреждение здравоохранения;https://sanatoria.ru/san.php?org=168
169;Санаторий «Карагай»;Республика Башкортостан;;452550, Республика Башкортостан, Мечетлинский район, с. Большеустьикинское, ул. Курортная, д. 90;http://sankaragai.ru/;+7 (34770) 2-08-52, +7 (34770) 2-08-49, +7 (34770) 2-08-40;;sankaragai@yandex.ru;Бадретдинов Рамиль Рафаилович;общество с ограниченной ответственностью;https://sanatoria.ru/san.php?org=169
170;Санаторий «Мыс Видный»;Краснодарский край;Сочи;354037, Россия, Краснодарский край, г. Сочи, ул. Новороссийское шоссе 1;http://www.mysvidny.ru/;+7 (862) 260-94-48, 260-90-16;+7 (862) 265-04-40;booking_mv@rzdz.ru;;филиал;https://sanatoria.ru/san.php?org=170
171;Санаторий «Дубовая роща»;;;460520, Оренбургская обл., Оренбургский р-н, с. Нежинка, ул. Янтарная, 1;http://xn---56-5cdbdho5gdv4a9fxd.xn--p1ai/;+7 (3532) 56-29-42, 34-02-93;34-02-93;dubrosha56@yandex.ru;Коваленко Наталья Валерьевна;акционерное общество;https://sanatoria.ru/san.php?org=171
172;Курорт «Русь»;;Усть-Илимск-13;666683, Иркутская обл., г. Усть-Илимск-13, ул. Героев труда, д. 57, а/я 538;http://xn----stbmhbbhffg4h.xn--p1ai/;+7 (39535) 5-75-20, 5-76-36;5-99-23;russ_ui@mail.ru;Хоменко Сергей Дмитриевич;открытое акционерное общество;https://sanatoria.ru/san.php?org=172
173;Пансионат «Морозовский»;Нижегородская область;;607220, Нижегородская область, Арзамасский район, с. Морозовка, территория профилактория;http://www.morozovskiy.com/;+7 (83147) 7-93-79, +7 (83147) 7-94-33, +7 (910) 890-13-39;;apz_moroz@mail.ru;Иванкова Наталья Геннадьевна;общество с ограниченной ответственностью;https://sanatoria.ru/san.php?org=173
174;Санаторий-профилакторий «Сосновый бор»;;;152250, Ярославская обл., Гаврилов-Ямской р-он, с. Великое;http://sosnovobor.ru/;+7 (48534) 2-19-25, +7(800)100-50-99 , +7 (48534) 2-17-59 9 (директор;;sps.b@yarregion.ru;Горохова Татьяна Анатольевна;государственное автономное учреждение здравоохранения Ярославской области;https://sanatoria.ru/san.php?org=174
175;Санаторий «Колос»;Омская область;;644024, Омская область, Омский район, с. Красноярка, ул. Санаторий «Колос», 1Б;http://www.kolos-omsk.ru/;+7 (3812) 53-53-57, 38-81-15;;omsk-kolos@yandex.ru;Кашапов Рустам Мингайсович;НП;https://sanatoria.ru/san.php?org=175
176;Санаторий «Бештау»;Ставропольский край;Железноводск;357417, Ставропольский край, г. Железноводск, ул. Семашко, 33;http://www.sanbestay.ru/;+7 (87932) 4-28-29, 4-82-58, 4-57-84, 8-800-200-43-43;4-28-29;mail@sanbestay.ru;Корниенко Константин Николаевич;открытое акционерное общество;https://sanatoria.ru/san.php?org=176
177;Санаторий «Урал»;;;457015, Челябинская обл., Увельский р-он, с. Хомутинино, ул. Подборная, д. 2;http://uralsan.ru/;+7 (351) 225-88-08, +7 (351) 225-71-70;;1@uralsan.ru;Селянина Галина Алексеевна;открытое акционерное общество;https://sanatoria.ru/san.php?org=177
178;Санаторий «Изумруд»;Саратовской область;Балаково;413800, Саратовской область, г. Балаково, ул. 1 мая, д. 10, стр. 1;http://sp-izumrud.ru/;+7 (8453) 46-44-90, 35-22-77;46-44-80;sp_izumrud10@mail.ru;Новиков Иван Алексеевич;общество с ограниченной ответственностью;https://sanatoria.ru/san.php?org=178
179;Центр отдыха и здоровья «Оазис»;Пермская область;Нытва;617001, Пермская область, г. Нытва, пр. Ленина, д. 45;;+7 (34272) 96-2-40, 9-70-25, 9-70-92;;;Горшкова Светлана Александровна;общество с ограниченной ответственностью;https://sanatoria.ru/san.php?org=179
180;Санаторий-профилакторий «Лучезарный» ФГУП ПО «Октябрь»;;;623400, Свердловская обл. г. Каменск-Уральский, ул. Кадочникова, д. 14;http://neywa.ru/;+7 (3439) 33-16-00, 33-96-54;33-96-92;october@neywa.ru;Смага Александр Петрович;ГУП;https://sanatoria.ru/san.php?org=180
181;Санаторий «Русь»;Краснодарский край;Сочи;354008, Россия, Краснодарский край, г. Сочи, ул. Политехническая, 22;http://rus-sochi.ru/;+7 (800) 100-19-53, +7(862)259-41-96, +7(862)259-41-26;;info@rus-sochi.ru;Щербатых Евгений Тихонович;ФГУП;https://sanatoria.ru/san.php?org=181
182;Санаторий-профилакторий «Радуга»;;Кирово-Чепецк;613040, Кировская обл., г. Кирово-Чепецк, главпочтамт, а/я 16;http://raduga.kchus.com/;+7 (83361) 2-49-26, 5-06-09, +7 (8332) 76-06-42;5-00-31;raduga@kchus.com;Серафимин Павел Иванович;открытое акционерное общество;https://sanatoria.ru/san.php?org=182
183;Санаторий «Горняцкий»;Курская область;Железногорск;307170, Курская область, г. Железногорск, улица Красных партизан, дом 11;http://sangorn.ru/;+7 (47148) 9-69-38, +7(47148)2-11-45;2-11-45;B.Sorokin@mgok.ru;Сорокин Борис Викторович;Некоммерческое учреждение;https://sanatoria.ru/san.php?org=183
184;Санаторно-оздоровительный центр «Лесная поляна»;;;694460, Сахалинская обл., Охинский район, с. Некрасовка;;+7 (42437) 93-237, 93-108;93-237;poljna@mail.ru;Петухова Нина Федоровна;МУП;https://sanatoria.ru/san.php?org=184
185;Санаторий-профилакторий «Поморье»;;Онега;164842, Архангельская обл., г. Онега, ул. Правды, 3;http://vk.com/public147450363;+7 (81839) 7-78-99, 7-80-55, 7-80-18;;sppomorie@gmail.com;Бровков Владимир Николаевич;частная;https://sanatoria.ru/san.php?org=185
186;Санаторий «Голубая волна»;Краснодарский край г. Геленджик ул. Туристическая 27;;353465, Краснодарский край г. Геленджик ул. Туристическая 27;http://golubaya-volna.ru/;+7 (86141) 7-04-84, 7-02-00, 7-03-00;7-01-98;office@golubaya-volna.ru;Третьяков Павел Антонович;ЗАО;https://sanatoria.ru/san.php?org=186
187;Санаторий «Тарханы»;Ставропольский край;Пятигорск;357536, Ставропольский край, г. Пятигорск, ул. К. Маркса, 14;http://tarhani-kmv.ru/;+7 (8793) 33-51-13, 33-97-80;97-37-85;santarhany@kmv.ru;Антонов Николай Петрович;ООО;https://sanatoria.ru/san.php?org=187
188;Санаторий «Тишково» лечебно-профилактическое учреждение СКО;Московская область;;141232, Московская область, Пушкинский район, с. Тишково, ул. Курортная д. 1;http://www.tishkovo-kurort.ru/;+7 (495) 993-36-08, 508-54-33, +7 (49653) 1-73-50;+7 (495) 993-36-08;sale@tishkovo-kurort.ru;Шипилов Алексей Владимирович;Некоммерческая организация – Лечебно-профилактическое учреждение «Санаторно-курортное объединение»;https://sanatoria.ru/san.php?org=188
189;Санаторий «Нива»;Ставропольский край;Ессентуки;357600, Ставропольский край, г. Ессентуки, ул. Пятигорская, 8;http://niva-essentuki.com/;+7 (87934) 5-49-07, 5-49-13;6-39-15;niva20@list.ru;Гринько Владимир Егорович;некоммерческое партнерство;https://sanatoria.ru/san.php?org=189
190;Санаторий «Горячий ключ»;Ставропольский край;Пятигорск;351000, Ставропольский край, г. Пятигорск, ул. Братьев Бернардацци, 1;http://kluch-kmv.ru/;+7 (8793) 97-37-97, 97-37-95;97-38-36;sanatorykluch@mail.ru;Пачин Сергей Александрович;ФГУ;https://sanatoria.ru/san.php?org=190
191;Санаторно-курортный комплекс «ДиЛУЧ» — 1-й, 2-й и 6-й корпуса;Краснодарский край;Анапа;"353440, Краснодарский край, г. Анапа, ул. Пушкина, 22; Кордный переулок дом 3, корпуса 1,2,6";http://diluch.ru/;+7 (86133) 5-26-29, +7(800)100-40-30;;info@diluch.org;Севрюкова Вера Стефановна;акционерное общество;https://sanatoria.ru/san.php?org=191
192;Детский санаторий «Нива»;;;442338, Россия, Пензенская обл., Пензенский р-н, с. Пановка;http://zdraw-penza.ru/hotels/niva/;+7 (8412) 38-52-22, 38-52-36;38-52-22;;Михайлюк Евгений Борисович;ООО;https://sanatoria.ru/san.php?org=192
193;Курорт «Усть-Качка»;Пермский край;;614524, Пермский край, Пермский район, с. Усть-Качка, здание санатория «Кама»;http://ust-kachka.amaks-kurort.ru/;+7 (342) 207-94-57, +7 (342) 206-40-40;;kurort@ust-kachka.ru;Постников Сергей Вячеславович;закрытое акционерное общество;https://sanatoria.ru/san.php?org=193
194;Санаторий-профилакторий «Молот»;Кировская область;Вятские Поляны;612960, Кировская область, г. Вятские Поляны, ул. Кирова д. 2 корп. а;http://www.canmol.ru/;+7 (83334) 6-10-71, 7-08-88;6-10-71;canMol@yandex.ru;Ошурков Константин Борисович;общество с ограниченной ответственностью;https://sanatoria.ru/san.php?org=194
195;Санаторий «Рассветы над Бией»;Алтайский край;;659352, Алтайский край, Бийский р-н, с. Стан-Бехтемир, ул. Озерная, 2;http://www.rassvety.ru/;+7 (3854) 38-34-64, 38-34-63;+7 (3854) 38-34-01;info@rassvety.ru;;общество с ограниченной ответственностью;https://sanatoria.ru/san.php?org=195
196;Медицинский центр «Юность»;Ставропольский край;Ессентуки;357600, Россия, Ставропольский край, г. Ессентуки, ул. Советская, 24;http://yunostkmv.ru/;+7 (87934) 6-66-01, 6-74-36;;market@skfmba.ru;Тер-Акопов Гукас Николаевич;филиал государственноого бюджетного учреждения;https://sanatoria.ru/san.php?org=196
197;Санаторий «Горный воздух»;;;357409, Железноводск, ул. Семашко, д. 1;http://gvkmv.ru/;+7 (87932) 4-25-44, 4-23-17, 4-82-91;4-49-27;gvkmv@yandex.ru;Неровня Эльвира Александровна;государственное учреждение;https://sanatoria.ru/san.php?org=197
198;Военный санаторий «Адлер»;Краснодарский край;Сочи;354340, Краснодарский край, г. Сочи, Адлерский район, ул. Ленина, 97;http://skk-sochi.ru/adler;+7 (8622) 41-00-63, 45-24-29, 46-01-29;45-01-30;adler.vvs@mail.ru;военного санатория;ГУ;https://sanatoria.ru/san.php?org=198
199;Санаторий «Рябинушка», г. Анапа;Краснодарский край;Анапа;353456, Краснодарский край, г. Анапа, Пионерский пр-т. 76;http://www.ryabinushka.ru/;+7 (800) 200-45-98 , +7 918 642-6288 WhatsApp,Viber, +7 (86133) 3-34-77, 3-30-54;;ryabina.anapa@gmail.com;Харченко Татьяна Ивановна;общество с ограниченной ответственностью;https://sanatoria.ru/san.php?org=199
200;Санаторий «Крутушка»;Республика Татарстан;Казань;420130, Республика Татарстан, город Казань, поселок городского типа Санаторий Крутушка;http://krutushka-kazan.ru/;+7 (800 ) 600-34-88, +7 (843) 202-30-33;;sanatoriy@krutushka-kazan.ru;Садыков Айдар Рустемович;акционерное общество;https://sanatoria.ru/san.php?org=200
201;ФГБУ детский санаторий «Озеро Шира» Минздрава России;Республика Хакасия;;655220, Республика Хакасия, Ширинский район, п. Жемчужный, ул. Санаторная, д. 7;http://ds-shira.ru/;+7 (39035) 9-35-11 доб.329, +7(39035)9-35-11 доб.310;;ozero.shira@yandex.ru;Тимошенко Юлия Евгеньевна;федеральное государственное бюджетное учреждение;https://sanatoria.ru/san.php?org=201
202;Санаторий имени;;Самара;443031, г. Самара, Барбошина поляна (Поляна им. Фрунзе), 9-я просека;http://schkalova.ru/;+7 (846) 952-95-45, 952-96-36, 952-92-44;977-38-93;schkalova@mail.ru;Туманов Игорь Юрьевич;открытое акционерное общество;https://sanatoria.ru/san.php?org=202
203;Оздоровительно-реабилитационный центр «Синегорье»;Магаданская область;;686222, Магаданская область, п. Синегорье, ул. Олега Когодовского, д. 37;;+7 (41343) 46-186, 46-511;46-850;mogbusin@mail.ru;Икизли Екатерина Степановна;государственное бюджетное учреждение;https://sanatoria.ru/san.php?org=203
204;Санаторий «Пикет»;Ставропольский край;Кисловодск;357700, Ставропольский край, г. Кисловодск, ул. Гора Пикет, д. 12;http://piket-kmv.ru/;+7 (87937) 9-80-62, 3-06-08;3-13-58;piket_marketing@profkurort.ru;;;https://sanatoria.ru/san.php?org=204
205;Республиканский детский санаторий «Лесная сказка» МЗ и СРЧР;Чувашская Республика;;429541, Чувашская Республика, Моргаушский р-н, д. Шомиково, ул Лесная, д. 55;;+7 (8352) 62-65-64;(83540) 2-72-47;ipskazka@medinform.su;Бабаев Юрий Алексеевич;государственное учреждение здравоохранения;https://sanatoria.ru/san.php?org=205
206;Базовый санаторий «Виктория»;Ставропольский край;Ессентуки;357600, Россия, Ставропольский край, г. Ессентуки, ул. Пушкина, 22;http://www.victoria-essentuki.ru/;+7 (87934) 6-77-62, 6-26-96, 4-34-63;;victory-essentuki@profkurort.ru;Гринько Нина Николаевна;лечебно-профилактическое учреждение;https://sanatoria.ru/san.php?org=206
207;Санаторий «Рябинушка»;Оренбургская область;;461800, Оренбургская область, Грачёвский район, с. Грачевка, ул. Пролетарская, 105;http://www.sanatorii-ryabinushka56.ru/;+7 (35344) 2-17-45, +7 (922) 552-85-45;+7 (35344) 2-16-46;Ryabinushka56@ya.ru;Петров Виктор Николаевич;общество с ограниченной ответственностью;https://sanatoria.ru/san.php?org=207
208;Санаторий-профилакторий «Солнечный берег»;Ивановская область;Кохма;153511, Россия, Ивановская область, г. Кохма, ул. Ивановская, д. 19А, стр. 1;http://www.kohmaclinic.ru/;+7 (4932) 55-84-20, 55-44-37;;solnechbereg@mail.ru;Леонтьева Наталья Викторовна;общество с ограниченной отвественностью;https://sanatoria.ru/san.php?org=208
209;Санаторий «Ува»;Удмуртская Республика;;427260, Удмуртская Республика, пос. Ува, ул. Курортная, д. 13;http://www.uvasan.com/;+7 (34130) 5-20-41;5-23-57;uvasan@udm.net;Веслова Инна Викторовна;общество с ограниченной ответственностью;https://sanatoria.ru/san.php?org=209
210;Санаторий «Надежда»;;;442507, Россия, Пензенская обл., Кузнецкий р-н, с. Ульяновка, ул Ленинская, 216;http://zdraw-penza.ru/hotels/nadejda/;+7 (84157) 5-22-34, 5-22-30;5-22-19;nadegda_sanatoriy@mail.ru;Медведев Виктор Владимирович;общество с ограниченной ответственностью;https://sanatoria.ru/san.php?org=210
211;Санаторий-профилакторий «Чистый ключ»;;Каменск-Уральский;623428, Свердловская обл., г. Каменск-Уральский, пр. Победы, д. 90;http://kluch.su/;+7 (3439) 36-47-95, +7 (953) 0000-788;;kluch-san@mail.ru;Матт Александр Рихадович;общество с ограниченной ответственностью;https://sanatoria.ru/san.php?org=211
212;Санаторий «Надежда»;Ставропольский край;Ессентуки;357601, Ставропольский край, г. Ессентуки, ул. Баталинская, 11А;http://nadezhda-kmv.ru/;+7 (800) 500-88-17, +7 (87934) 4-34-39, +7 (903) 442-65-37 WhatsApp;;nadezhda_marketing@profkurort.ru;Рассказов Евгений Борисович;общество с ограниченной ответственностью;https://sanatoria.ru/san.php?org=212
213;Санаторий-профилакторий «Родник» Череповец;;Череповец;162602, Вологодская обл., г. Череповец, ул. Данилова, 24;http://medrodnik.ru/;+7 (8202) 53-44-62, +7 (8202) 53-41-79, +7 (8202) 53-41-77;;botrodn@stal.ru;Шамурин Николай Васильевич;ОАО;https://sanatoria.ru/san.php?org=213
214;Санаторий «Зеленый город»;Нижегородская область;Н. Новгород;603121, Нижегородская область, г. Н. Новгород, к. п. Зелёный город, санаторий «Зелёный город»;http://zel-gorod.ru/;+7 (831) 438-78-60, 438-76-91;438-77-90;belka@zel-gorod.ru;-главный врач;ООО;https://sanatoria.ru/san.php?org=214
215;Санаторно-оздоровительный комплекс «Золотой колос»;Краснодарский край;;352855, Краснодарский край, Туапсинский р-н, п. Новомихайловский, ул. Садовая, 28;http://www.goldkolos.ru/;+7 (86167) 9-22-38, 9-23-31;9-22-38;goldkolos@inbox.ru;Чемоданов Владимир Борисович;общество с ограниченной ответственностью;https://sanatoria.ru/san.php?org=215
216;Детский краевой психоневрологический санаторий «Ромашка»;Ставропольский край;Пятигорск;357528, Ставропольский край, г. Пятигорск, ул. Ермолова, д. 213;http://romashka-kmv.ru/;+7 (87933) 31-87-72, 31-87-73;31 87-73;romashka.minzdrav@yandex.ru;Виноградский Александр Михайлович;ГУЗ;https://sanatoria.ru/san.php?org=216
217;Санаторий «Кругозор»;Ставропольский край;;357700, Ставропольский край, Кисловодск, Клары Цеткин, 2;http://krugozor.su/;+7 (800) 700-75-95, +7 (87937) 67-817, +7 (87937) 67-819;;info@krugozor.su;Харин Виталий Лазаревич;закрытое акционерное общество;https://sanatoria.ru/san.php?org=217
218;Медицинский комплекс «Бодрость в Вологде»;;Вологда;160034, г. Вологда, ул. Возрождения, 9;http://bodrost-35.ru/;+7 (8172) 57-86-87, +7 (800) 301-67-80;;bodrost@vologda.ru;Маштакова Людмила Борисовна;общество с ограниченной отвественностью;https://sanatoria.ru/san.php?org=218
219;Лечебно-реабилитационный научный центр «Русское поле» ФГБУ «ФНКЦ ДГОИ им. Дмитрия Рогачева» Минздрава России;Московская область;;142321, Московская область, Чеховский р-н, санаторий «Русское поле»;http://lrnc.ru/;+7 (495) 797-92-32, +7 (495) 664-70-16, +7 (495) 287-65-70;;ruspole@inbox.ru;;филиал ФГБУ;https://sanatoria.ru/san.php?org=219
220;Санаторий «Руно»;Ставропольский край;Пятигорск;357501, Ставропольский край, г. Пятигорск, пр. Кирова, 28;http://runokmv.com/;+7 (879) 333-12-21, 339-02-66;;runo@donagrok.ru;Чернобаев Виктор Васильевич;потребительский кооператив;https://sanatoria.ru/san.php?org=220
221;Санаторий «Крепость»;Ставропольский край;Кисловодск;357700, Ставропольский край, г. Кисловодск, пр. Мира, 9;http://kmvfort.ru/;+7 (87937) 9-60-47, +7(800)350-46-47, +7(87937)3-02-85;;mail@kmvfort.ru;Тырнов Петр Иванович;ОАО;https://sanatoria.ru/san.php?org=221
222;ЛПУ «Санаторий имени В. В. Володарского»;Пензенская область;Пенза;440014, Пензенская область, г. Пенза, ул. Спартаковская, 11;http://volodarsky-penza.ru/;+7 (8412) 628-259, 628-232;658-259;sanvol@list.ru;Мельник Елена Анатольевна;учреждение;https://sanatoria.ru/san.php?org=222
223;Репино Cronwell Park Отель;г. Санкт-Петербург;Санкт-Петербург;197738, г. Санкт-Петербург, пос. Репино, Приморское шоссе, д. 394;http://repino.cronwell.com/;+7 (812) 702-28-28;;reservation@hotel-repino.ru;;;https://sanatoria.ru/san.php?org=223
224;Детский санаторий для больных туберкулезом «Горный воздух»;Краснодарский край;Сочи;354208, Краснодарский край, г. Сочи, ул. Декабристов, 163;http://gv-sochi.ru/;+7 (862) 252-72-92, +7(862)252-72-67;;muzdts@yandex.ru;;;https://sanatoria.ru/san.php?org=224
225;Санаторий-профилакторий «Шахтер» — «Институт управления медицинскими рисками и оптимизации страхования»;Республика Коми;Ухта;169347, Республика Коми, г. Ухта, пгт. Ярега, ул. Космонавтов, 12;http://medis-ins.ru/;+7 (8216) 78-92-08, 78-92-09;;ukhta@medis-ins.ru;филиала - главный врач;общество с ограниченной ответственностью;https://sanatoria.ru/san.php?org=225
226;Санаторий «Кисловодский»;Ставропольский край;Кисловодск;357700, Ставропольский край, г. Кисловодск, пр-т Дзержинского, д. 16;http://vskislovodsk.ru/;+7 (79337) 2-02-94, 2-93-23;;vs.kislovodsk@yandex.ru;Ефремов Игорь Владиславович;"филиал федерального государственного бюджетного учреждения СКК ""Северокавказский"" МО РФ";https://sanatoria.ru/san.php?org=226
227;Санаторий «Дюны»;Санкт-Петербург;;197706, Санкт-Петербург, Приморское шоссе, 38 км;http://dunes-spb.ru/;+7 (812) 407-17-17, 437-36-06, 437-47-67;437-44-05;kurort@dunes.spb.ru;;общество с ограниченной ответственностью;https://sanatoria.ru/san.php?org=227
228;Дом отдыха «Ершово»;Московская область;;143055, Московская область, Одинцовский район, с. Ершово;http://ershovo.su/;+7 (495) 597-50-20, +7(495)597-50-23;;sale@ershovo.su;;закрытое акционерное общество;https://sanatoria.ru/san.php?org=228
229;Санаторно-оздоровительный лагерь «Самородово»;Оренбургская область;;460000, 460 526, Оренбургская область, Оренбургский район, в границах Чкаловского сельсовета, порядка 4 км на север от ориентира — трасса, 33 км автодороги Оренбург — Беляевка;http://samorodovo.ru/;+7 (3532) 73-83-11, +7(3532)23-20-82;;admin_samor@mail.ru;;;https://sanatoria.ru/san.php?org=229
230;Детский противотуберкулезный санаторий «Сосновый мыс»;Ленинградская область;;188800, Ленинградская область, Выборгский район, ст. Лебедевка;http://sosnoviy-mis.ru/;+7 (81378) 6-72-11;;agape44@mail.ru;Лукин Василий Алексеевич;государственное бюджетное учреждение здравоохранения Ленинградской области;https://sanatoria.ru/san.php?org=230
231;Межхозяйственный санаторий-профилакторий «Венеция»;Республика Башкортостан;;452314, Республика Башкортостан, Дюртюлинский р-н, д. Венеция, ул. Венеция;http://venecia-du.ru/;+7 (34787) 6-09-03;2-17-25;veneciya.00@mail.ru;Низамутдинов Рашид Разетдинович;муниципальное унитарное предприятие;https://sanatoria.ru/san.php?org=231
232;Санаторий «Альфа Радон»;Гродненская область;;231471, Республика Беларусь, Гродненская область, Дятловский район, Даниловичский с/с, 4, 50 метров южнее санатория «Радон»;http://alfaradon.by/;+375 17 227-00-99, +375 29 366-88-11, +375 15 633 -50-00;;bron@alfaradon.by;Синявский Степан Евстафьевич;общество с ограниченной ответственностью;https://sanatoria.ru/san.php?org=232
233;Санаторий «Автомобилист»;Костромская область;Кострома;156014, Костромская область, г. Кострома, ул. Профсоюзная, д. 12;http://sanauto.ru/;+7 (4942) 64-22-34, 64-22-27, 64-22-32;;auto@sanauto.ru;;федеральное государственное лечебно-профилактическое учреждение;https://sanatoria.ru/san.php?org=233
234;Пятигорский военный санаторий;Ставропольский край;Пятигорск;357534, Ставропольский край, г. Пятигорск, ул. Соборная, д. 24;http://www.pcvsmorf.ru/;+7 (8793) 303-303, 304-304;;pcvs@skkmorf-sevkav.ru;;"филиал федерального государственного бюджетного учреждения СКК ""Северокавказский"" МО РФ";https://sanatoria.ru/san.php?org=234
235;Санаторий им.;Ставропольский край;Кисловодск;357700, Ставропольский край, г. Кисловодск, пр-т Ленина 12−14;http://san-semashko.ru/;+7 (87937) 6-63-94, 6-76-10, +7(928)007-58-68;;san.semashko@list.ru;;государственное лечебно-профилактическое учреждение;https://sanatoria.ru/san.php?org=235
236;Корткеросский детский противотуберкулезный санаторий;Республика Коми;;168020, Республика Коми, Корткеросский район, с. Корткерос, ул. Сангородок, д. 5;;+7 (82136) 9-96-57, 9-21-59, 9-26-85;9-21-59, 9-26-85;korttub2@mail.ru;Бузулуцкая Екатерина Валериевна;государственное бюджетное учреждение Республики Коми;https://sanatoria.ru/san.php?org=236
237;Санаторий «Сосновая роща»;Ставропольский край;Кисловодск;357700, Ставропольский край, г. Кисловодск, ул. Володарского, д 14;;+7 (8793) 975799;"975760 ; 5-96-43";sosna@narzan.com;Шустова Тамара Владимировна;;https://sanatoria.ru/san.php?org=237
238;Санаторий-профилакторий Вологодского государственного университета «Политехник»;Вологодская область;Вологда;160002, Вологодская область, г. Вологда, ул. Щетинина, 2Б/1;http://vogu35.ru/sanatorij-politekhnik;+7 (8172) 53-63-87, 53-63-77;;;;;https://sanatoria.ru/san.php?org=238
239;Санаторий «Изумрудный»;Приморский край;;692086, Приморский край, Кировский р-н, п. Горные ключи, ул. Профсоюзная, д. 3;http://izumrudny.ru/;+7 (42354) 24-6-14, 24-2-71, 25-3-29;25-3-29;sales@izumrudny.ru;Марчук Татьяна Васильевна;ООО;https://sanatoria.ru/san.php?org=239
240;Детский специализированный санаторий «Зорька»;г. Санкт-Петербург;Зеленогорск;197720, г. Санкт-Петербург, Курортный р-н, г. Зеленогорск, Приморское шоссе, д. 514;;;;;;;https://sanatoria.ru/san.php?org=240
241;Санаторий «Амурский залив»;Приморский край;Владивосток;690041, Приморский край, г. Владивосток, ул. Маковского, 65;http://amurskiyzaliv.ru/;+7 (423) 233-47-87, 233-48-23, 233-46-79;233-47-87;mail@amurskiyzaliv.ru;;;https://sanatoria.ru/san.php?org=241
